TimeStamp,FPS,GT # Faces,# Faces,frame #,QRDetection Status,Hardcoded Eye Gaze,DetectedFaces Info
19-51-41.9460,33,0,1,246,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.9709,35,0,1,247,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-42.0023,36,0,1,248,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-42.0231,35,0,1,249,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-42.0406,37,0,1,250,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-42.0607,40,0,1,251,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-42.0933,41,0,1,252,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-42.1132,38,0,1,253,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-42.1331,40,0,1,254,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-42.1496,42,0,1,255,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-42.1854,45,0,1,256,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-42.2131,39,0,1,257,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-42.2375,39,0,1,258,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-42.2584,39,0,1,259,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-42.3064,41,0,1,260,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-42.3586,33,0,1,261,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-42.3868,29,0,1,262,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-42.4070,30,0,1,263,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-42.4427,33,0,1,264,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-42.4704,31,0,1,265,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
