TimeStamp, ElapsedTime, frame #, FPS, logSize, QRDetection Status, isReplayed, PETOutputs
2026-12-2--13-34-20,0,69,6,13738,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"94.945"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"99.34"|"faces":[]}
2026-12-2--13-34-20,0,70,6,13940,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"92.812"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"97.494"|"faces":[]}
2026-12-2--13-34-20,0,71,6,14137,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"89.537"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"92.91"|"faces":[]}
2026-12-2--13-34-20,0,72,6,14335,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"99.197"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"102.76"|"faces":[]}
2026-12-2--13-34-20,0,73,6,14533,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"92.498"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"97.003"|"faces":[]}
2026-12-2--13-34-20,0,74,7,14733,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"103.004"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"106.845"|"faces":[]}
2026-12-2--13-34-20,0,75,6,14932,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"95.814"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"100.189"|"faces":[]}
2026-12-2--13-34-20,0,76,6,15131,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"105.77"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"109.998"|"faces":[]}
2026-12-2--13-34-20,0,77,6,15328,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"92.99"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"97.538"|"faces":[]}
2026-12-2--13-34-20,0,78,6,15532,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"107.648"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.002"|"ms_total":"111.763"|"faces":[]}
2026-12-2--13-34-20,0,79,6,15729,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"89.52"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"92.865"|"faces":[]}
